Requirement Text,Class,Sub-Type,Ambiguity,cleaned_text_stage1,cleaned_text_stage3,predicted_class_id,predicted_class,predicted_ambiguity_id,predicted_ambiguity,predicted_subtype,predicted_subtype_id,llm_rewrite_plain,llm_rewrite_ambiguity_only,llm_rewrite_metadata,llm_rewrite_metadata_rules
System shall be able to search for a certain POI on the campus of the TU/e by name.,FR,Functional,Non-Ambiguous,search certain poi campus tu e name,system shall be able to search for a certain poi on the campus of the tu e by name,0,FR,0,Ambiguous,N/A,,The system shall provide a search function that allows users to find points of interest (POIs) on the TU/e campus by specifying their name.,"The system shall search for a specific Point of Interest (POI) on the TU/e campus by name, returning a list of matching results.",The system shall provide a search function that returns the location of a specific Point of Interest (POI) on the TU/e campus by matching its name.,The system shall provide a search function that returns the location of a specific Point of Interest (POI) on the TU/e campus by matching its name.
System shall be able to navigate between buildings on the campus.,FR,Functional,Non-Ambiguous,navigate building campus,system shall be able to navigate between buildings on the campus,0,FR,0,Ambiguous,N/A,,The system shall provide a navigation feature that enables users to move between buildings on the campus.,The system shall provide a navigation feature that enables users to move between buildings on the campus.,"The system shall provide a navigation feature that enables users to move between buildings on the campus, displaying relevant information and directions.","The system shall provide a navigation feature that allows users to move between buildings on the campus, displaying relevant information and directions."
System shall be able to navigate from a building to a POI on the campus.,FR,Functional,Non-Ambiguous,navigate building poi campus,system shall be able to navigate from a building to a poi on the campus,0,FR,0,Ambiguous,N/A,,The system shall provide a navigation feature that enables users to move from the location of a building on campus to the location of a Point of Interest (POI) within the same campus.,The system shall navigate from a building to a Point of Interest (POI) on the campus by providing turn-by-turn directions.,The system shall provide a navigation feature that enables users to traverse from any building on the campus to a specific Point of Interest (POI) with accurate directions.,The system shall provide a navigation feature that enables users to move from the location of a building on campus to the location of a Point of Interest (POI) within the same campus.
System shall be able to navigate from a POI to a building on the campus.,FR,Functional,Non-Ambiguous,navigate poi building campus,system shall be able to navigate from a poi to a building on the campus,0,FR,0,Ambiguous,N/A,,"The system shall provide a navigation feature that enables users to transition from a specific Point of Interest (POI) to the corresponding building on campus, ensuring accurate routing and mapping.","The system shall navigate from a Point of Interest (POI) to the nearest building on campus, providing a valid route and ensuring that the destination is within walking distance.","The system shall provide a navigation feature that enables users to transition from a specific Point of Interest (POI) to the corresponding building on campus, with clear visual and auditory cues indicating the destination.","The system shall provide a navigation path from any Point of Interest (POI) to the nearest building on campus, with the ability to display the route and estimated travel time."
System shall be able to navigate between POIs on the campus.,FR,Functional,Non-Ambiguous,navigate poi campus,system shall be able to navigate between pois on the campus,0,FR,0,Ambiguous,N/A,,The system shall provide a navigation feature that enables users to move between Points of Interest (POIs) on the campus.,The system shall provide a navigation feature that enables users to move between points of interest (POIs) on the campus.,The system shall provide a navigation feature that enables users to move between Points of Interest (POIs) on the campus.,"The system shall provide a navigation feature that enables users to move between points of interest (POIs) on the campus, displaying the current location and providing directions to the next POI."
"System shall be able to navigate from a POI to another location on the campus (which could be a building, street, etc.).",FR,Functional,Ambiguous,navigate poi another location campus could building street etc,system shall be able to navigate from a poi to another location on the campus which could be a building street etc,0,FR,0,Ambiguous,N/A,,"The system shall navigate from a Point of Interest (POI) to another location on the campus, which can be a building or street.","The system shall navigate from a Point of Interest (POI) to another location on the campus, which can be a building or street.","The system shall navigate from a Point of Interest (POI) to another location on the campus, which can be a building or street.","The system shall navigate from a Point of Interest (POI) to another location on the campus, which can be a building or street."
System shall be able to navigate from a street on the campus to another location on the campus.,FR,Functional,Ambiguous,navigate street campus another location campus,system shall be able to navigate from a street on the campus to another location on the campus,0,FR,0,Ambiguous,N/A,,The system shall provide a navigation feature that enables users to find the shortest path from any street on campus to another location on campus.,The system shall provide a navigation feature that allows users to enter the starting location (a street on campus) and receive directions to another location on campus.,The system shall provide a navigation feature that enables users to find the shortest path from any street on campus to another location on campus.,The system shall provide a navigation feature that allows users to enter the starting location (a street on campus) and retrieve directions to another location on campus.
System shall be able to switch between different means of transportation while navigating.,FR,Functional,Non-Ambiguous,switch different mean transportation navigating,system shall be able to switch between different means of transportation while navigating,0,FR,0,Ambiguous,N/A,,The system shall support seamless transitions between various transportation modes during navigation.,"The system shall seamlessly transition between various transportation modes during navigation, ensuring uninterrupted route guidance.","The system shall support seamless transitions between various transportation modes during navigation, allowing users to switch between walking, driving, taking public transport, or using ride-hailing services without interrupting the overall journey.","The system shall support seamless transitions between various transportation modes during navigation, allowing users to switch between walking, driving, taking public transport, or using ride-hailing services without interruption."
System shall show titles of all news items available through the news RSS feeds on the title screen.,FR,Functional,Non-Ambiguous,show title news item available news rss feed title screen,system shall show titles of all news items available through the news rss feeds on the title screen,0,FR,0,Ambiguous,N/A,,The system shall display the titles of all news items retrieved from RSS feeds on the title screen.,The system shall display the titles of all news items retrieved from RSS feeds on the title screen.,The system shall display the titles of all news items retrieved from RSS feeds on the title screen.,The system shall display the titles of all news items retrieved from RSS feeds on the title screen.
System shall provide a calendar view.,FR,Functional,Non-Ambiguous,calendar view,system shall provide a calendar view,0,FR,0,Ambiguous,N/A,,"The system shall display a calendar view, including dates and days of the week, for users to navigate and schedule events.","The system shall display a calendar view, including dates and days of the week, for users to navigate and schedule events.","The system shall display a calendar view, including dates and days of the week, for users to navigate and schedule events.","The system shall display a graphical representation of dates and events in chronological order, allowing users to visualize schedules and plan accordingly."
System shall extract only events available in the agenda app from the agenda RSS feeds in the selected language.,FR,Functional,Non-Ambiguous,extract event available agenda agenda rss feed selected language,system shall extract only events available in the agenda app from the agenda rss feeds in the selected language,0,FR,0,Ambiguous,N/A,,The system shall retrieve only events from the agenda RSS feeds that are also available in the selected language and present in the agenda app.,"The system shall retrieve and extract only events from the agenda RSS feeds that are available in the selected language, as defined by the agenda app.",The system shall retrieve only events from the agenda RSS feeds that are also available in the selected language and listed in the agenda app.,The system shall retrieve and process only those events from the agenda RSS feeds that are also available in the selected language within the agenda app.
"Users shall be able to search for restaurants on the mobile application using various options including price, destination, restaurant type, specific dish, and free text with the ability to combine multiple options in a single search.",FR,Functional,Ambiguous,search restaurant mobile using various option including price destination restaurant type specific dish free text ability combine multiple option single search,users shall be able to search for restaurants on the mobile application using various options including price destination restaurant type specific dish and free text with the ability to combine multiple options in a single search,0,FR,0,Ambiguous,N/A,,"The mobile application shall allow users to search for restaurants using a combination of filters, including price range, destination, restaurant type, specific dish name, and free text input, with the ability to apply multiple filter options simultaneously.","The mobile application shall provide a search function that allows users to find restaurants by combining multiple criteria, including price range, destination, restaurant type, specific dish name, and free text input.","The mobile application shall allow users to search for restaurants using a combination of filters, including price range, destination, restaurant type, specific dish name, and free text input.","The mobile application shall allow users to search for restaurants using a combination of filters including price, destination, restaurant type, specific dish, and free text input."
"Users shall be able to view search results in a list containing details like restaurant name, contact information, distance, price, description, links, and sort/filter the results by various criteria.",FR,Functional,Ambiguous,view search result list containing detail like restaurant name contact information distance price description link sort filter result various criterion,users shall be able to view search results in a list containing details like restaurant name contact information distance price description links and sort filter the results by various criteria,0,FR,0,Ambiguous,N/A,,"The system shall display search results in a list format, including restaurant name, contact information, distance, price range, brief description, and relevant links.","The system shall display search results in a list format, including restaurant name, contact information, distance, price range, brief description, and relevant links.","The system shall display search results in a list format, including restaurant name, contact information, distance, price range, brief description, and relevant links.","The system shall display search results in a list format, including restaurant name, contact information, distance, price range, brief description, and relevant links."
"The user shall be able to search for restaurants by any criteria (name, description, address, type, or menu) in a free-text field, with results shown on a map.",FR,Functional,Ambiguous,search restaurant criterion name description address type menu free text field result shown map,the user shall be able to search for restaurants by any criteria name description address type or menu in a free text field with results shown on a map,0,FR,0,Ambiguous,N/A,,"The application shall provide a search function that allows users to input free-text queries and retrieve matching restaurant results, including name, description, address, type, or menu information, displayed on an interactive map.","The system shall provide a search function that allows users to input free-text queries and retrieve matching restaurant results, including name, description, address, type, or menu information, displayed on an interactive map.","The user shall be able to search for restaurants by entering a free-text query in the search field, which can include any of the following criteria: name, description, address, type, or menu.","The user shall be able to search for restaurants by entering a free-text query in the search field, which can include any of the following criteria: name, description, address, type, or menu."
Users shall be able to sort search results by various criteria with ascending or descending order.,FR,Functional,Ambiguous,sort search result various criterion ascending descending order,users shall be able to sort search results by various criteria with ascending or descending order,0,FR,0,Ambiguous,N/A,,The system shall provide a sorting feature that allows users to arrange search results in ascending or descending order based on multiple criteria.,The system shall provide a sorting feature that allows users to sort search results by one or more specified criteria in ascending or descending order.,The system shall provide a sorting feature that allows users to arrange search results in ascending or descending order based on multiple criteria.,"The system shall provide a user interface that allows users to sort search results by at least one of the following criteria: relevance, date, title, or author."
"A user shall be able to optionally provide a restaurant description, menu, type, picture, and mobile number to enhance their listing.",FR,Functional,Ambiguous,optionally restaurant description menu type picture mobile number enhance listing,a user shall be able to optionally provide a restaurant description menu type picture and mobile number to enhance their listing,0,FR,0,Ambiguous,N/A,,"A user shall be able to optionally provide a restaurant description, menu, type, picture, and mobile number as additional metadata for their listing.","A user shall be able to optionally provide a restaurant description, menu, type, picture, and mobile number as additional information for their listing.","A user shall be able to optionally provide a restaurant description, menu, type, picture, and mobile number as additional information for their listing.","A user shall be able to optionally provide a restaurant description, menu, type, picture, and mobile number as additional metadata for their listing."
The system shall display a search bar prominently to enable users to easily find the information they need.,NFR,Usability,Ambiguous,display search bar prominently enable easily find information need,the system shall display a search bar prominently to enable users to easily find the information they need,1,NFR,0,Ambiguous,Usability,0.0,The system shall provide a prominent search bar that enables users to easily find information.,The system shall provide a prominent search bar that allows users to easily locate specific information.,"The system shall provide a prominent, easily accessible search input field that allows users to quickly locate relevant information.","The system shall provide a prominent, accessible search bar that allows users to input queries and receive relevant results within [X] seconds."
"The system shall present search options in a clear, understandable way.",NFR,Usability,Ambiguous,present search option clear understandable way,the system shall present search options in a clear understandable way,1,NFR,0,Ambiguous,Usability,0.0,The system shall display a list of search options in a format that is easily readable and understandable by users.,The system shall display a list of search options in a format that is easily readable and comprehensible.,"The system shall display a list of search options in a format that is easily readable and understandable, with each option clearly labeled.","The system shall provide a search interface that clearly displays available options and their descriptions, allowing users to easily select the desired option."
"The system shall display user-friendly, one-click selectable results in the list view.",NFR,Usability,Ambiguous,display friendly one click selectable result list view,the system shall display user friendly one click selectable results in the list view,1,NFR,0,Ambiguous,Usability,0.0,"The system shall display a list view that presents user-friendly, one-click selectable results in an easily accessible format.","The system shall display a list view that presents user-friendly, one-click selectable results in a format easily accessible to the end-user.","The system shall display a list view that presents user-friendly, one-click selectable results in an easily accessible format.","The system shall provide a list view that displays user-friendly, one-click selectable results with observable and testable usability features such as task completion indicators, accessibility options, feedback mechanisms, learnability aids, and error-prevention behaviors."
The system shall display user-friendly map view results requiring a single click to select a pin.,NFR,Usability,Ambiguous,display friendly map view result requiring single click select pin,the system shall display user friendly map view results requiring a single click to select a pin,1,NFR,0,Ambiguous,Usability,0.0,The system shall display a user-friendly map view with clickable pins that can be selected by a single click.,The system shall display a user-friendly map view with results that can be selected by clicking on a single pin.,"The system shall display a map view with user-friendly results, allowing users to select a pin with a single click.","The system shall display a map view with user-observable pin selection, allowing users to select a single pin with a single click."
"Users shall be able to search for items by filtering by price, location, and category.",FR,Functional,Non-Ambiguous,search item filtering price location category,users shall be able to search for items by filtering by price location and category,0,FR,0,Ambiguous,N/A,,"The system shall provide a search function that allows users to filter items by price, location, and category.","The system shall provide a search function that allows users to filter items by price, location, and category.","The system shall provide a search function that allows users to filter items by price, location, and category.","The system shall provide a search function that allows users to filter items by price, location, and category using specific input parameters."
"Users shall be able to browse profiles of other users, including usernames, profile photos, and their items.",FR,Functional,Non-Ambiguous,browse profile including usernames profile photo item,users shall be able to browse profiles of other users including usernames profile photos and their items,0,FR,0,Ambiguous,N/A,,"The application shall display a list of user profiles, including usernames and profile photos, with each profile containing a link to the corresponding user's item collection.","The application shall display a list of user profiles, including the username and profile photo for each user, along with their associated items.","The system shall display a list of user profiles, including the username and profile photo for each user, along with their associated items.","The system shall display a list of user profiles, including the username and profile photo for each user, along with their associated items."
"Users shall be able to freely add items with details, price, amount, and pictures.",FR,Functional,Ambiguous,freely add item detail price amount picture,users shall be able to freely add items with details price amount and pictures,0,FR,0,Ambiguous,N/A,,"The system shall allow users to create new items with associated details, price, quantity, and images.","The system shall allow users to create new items with associated details, price, quantity, and images.","The system shall allow users to create new items with associated details, price, quantity, and images.","The system shall allow users to create new items with associated details, price, quantity, and images."
"The user shall be able to edit their existing items, including adding/removing pictures and changing price and details.",FR,Functional,Ambiguous,edit existing item including adding removing picture changing price detail,the user shall be able to edit their existing items including adding removing pictures and changing price and details,0,FR,0,Ambiguous,N/A,,"The user shall be able to modify their existing items by adding, removing, or updating pictures and changing the item's price and details.","The user shall be able to modify their existing items by adding, removing, or updating pictures and changing the price and details.","The user shall be able to modify their existing items by adding, removing, or updating pictures and changing the price and details.","The user shall be able to modify their existing items by adding, removing, or updating pictures and changing the price and details."
The system shall accept GET requests with a question in a single URL parameter and a Content-Type header of application/json.,NFR,Maintainability,Non-Ambiguous,accept get request question single url parameter content type header json,the system shall accept get requests with a question in a single url parameter and a content type header of application json,1,NFR,0,Ambiguous,Maintainability,3.0,The system shall accept GET requests with a single URL parameter containing the question and a Content-Type header set to application/json.,The system shall accept GET requests with a single URL parameter containing the question and a Content-Type header set to application/json.,The system shall accept GET requests with a single URL parameter containing the question and a Content-Type header set to application/json.,The system shall accept GET requests with a single URL parameter containing the question and a Content-Type header set to application/json.
"System shall be able to respond to API queries with either JSON data or error messages, using appropriate response codes and headers.",NFR,Maintainability,Ambiguous,respond api query either json error message using appropriate response code header,system shall be able to respond to api queries with either json data or error messages using appropriate response codes and headers,1,NFR,0,Ambiguous,Maintainability,3.0,"The system shall respond to API queries with either JSON data or error messages, using standard HTTP response codes and headers (e.g., 200 OK for successful responses, 400 Bad Request for errors)."" ---","The system shall respond to API queries with either JSON data or error messages, using appropriate HTTP response codes and headers (e.g., 200 OK for successful responses, 400 Bad Request for errors)."" ```","The system shall respond to API queries with either JSON data or error messages, using standard HTTP response codes (200-299 for successful responses and 400-599 for errors) and corresponding headers.","The system shall respond to API queries with either JSON data or error messages, using standard HTTP response codes (200-299 for successful responses and 400-599 for errors) and corresponding headers."
The system shall be able to anonymize text by replacing identified keywords with generic terms and provide a mapping between them.,FR,Functional,Non-Ambiguous,anonymize text replacing identified keywords generic term mapping,the system shall be able to anonymize text by replacing identified keywords with generic terms and provide a mapping between them,0,FR,0,Ambiguous,N/A,,The system shall replace identified keywords in text with generic terms and provide a mapping of replaced keywords to their original values.,The system shall replace identified keywords in text with generic terms and provide a mapping between the replaced keywords and their original values.,The system shall replace identified keywords in text with generic terms and provide a mapping between the replaced keywords and their original values.,The system shall replace identified keywords in text with generic terms and provide a mapping between the replaced keywords and their original values.
The system shall be able to maintain a list of generic words associated with potential user queries.,FR,Functional,Non-Ambiguous,maintain list generic word associated potential query,the system shall be able to maintain a list of generic words associated with potential user queries,0,FR,0,Ambiguous,N/A,,The system shall maintain a list of generic words that can be associated with potential user queries.,The system shall maintain a list of generic words that can be associated with potential user queries.,The system shall maintain a list of generic words that can be associated with potential user queries.,"The system shall maintain a list of generic words that can be associated with potential user queries, and this list shall be accessible for querying."
"The system shall return a user-friendly message like Sorry, I didn't understand that when it encounters an error parsing the input.",FR,Functional,Ambiguous,return friendly message like sorry understand encounter error parsing input,the system shall return a user friendly message like sorry i didn t understand that when it encounters an error parsing the input,1,NFR,0,Ambiguous,Usability,0.0,"The system shall display a user-friendly error message, ""Sorry, I didn't understand that"", when encountering an error parsing the input.",The system shall return a user-friendly error message indicating that it did not understand the input when parsing fails.,"The system shall display a clear and concise error message, such as ""Sorry, I didn't understand that,"" when encountering an input parsing failure.","The system shall display a clear and concise error message, such as ""Sorry, I didn't understand that"", when encountering an input parsing failure."
"The system shall be able to condense the output sentence from the Generic Question Construction unit into a single, concise sentence.",FR,Functional,Ambiguous,condense output sentence generic question construction unit single concise sentence,the system shall be able to condense the output sentence from the generic question construction unit into a single concise sentence,0,FR,0,Ambiguous,N/A,,"The system shall generate a single, concise sentence from the output of the Generic Question Construction unit.","The system shall generate a single, concise sentence from the output of the Generic Question Construction unit.","The system shall generate a single, concise sentence from the output of the Generic Question Construction unit.","The system shall generate a single, concise sentence from the output of the Generic Question Construction unit."
The system shall be able to process a mapping received from the Generic Question Construction unit.,FR,Functional,Non-Ambiguous,process mapping received generic question construction unit,the system shall be able to process a mapping received from the generic question construction unit,0,FR,0,Ambiguous,N/A,,"The system shall process a mapping received from the Generic Question Construction unit, verifying its correctness and validity.","The system shall receive and process a mapping from the Generic Question Construction unit, ensuring accurate interpretation of the input data.","The system shall receive and process a mapping from the Generic Question Construction unit, ensuring accurate interpretation of the received data.","The system shall process a mapping received from the Generic Question Construction unit, verifying its format and content against predefined specifications."
"The system shall be able to condense a generic answer from the Generic Answer Construction unit into a single, concise sentence.",FR,Functional,Ambiguous,condense generic answer generic answer construction unit single concise sentence,the system shall be able to condense a generic answer from the generic answer construction unit into a single concise sentence,0,FR,0,Ambiguous,N/A,,"The system shall generate a single, concise sentence from the output of the Generic Answer Construction unit.","The system shall generate a single, concise sentence from the output of the Generic Answer Construction unit.","The system shall generate a single, concise sentence from the output of the Generic Answer Construction unit.","The system shall generate a single, concise sentence from the output of the Generic Answer Construction unit."
The system shall be able to provide a generic error message when no relevant website is found.,FR,Functional,Non-Ambiguous,generic error message relevant website found,the system shall be able to provide a generic error message when no relevant website is found,0,FR,0,Ambiguous,N/A,,"The system shall display a generic error message when no relevant website is found, allowing users to understand the cause of the failure and take appropriate action.","The system shall return a generic error message when no relevant website is found, and the message shall be displayed to the user.","The system shall display a generic error message when no relevant website is found, allowing users to understand the cause of the issue and potentially retry their search.","The system shall display a generic error message when no relevant website is found, and the message shall be testable for relevance."
The database will use the generic representations from R4.2.2.1 as table names or column headers for easier retrieval of data.,NFR,Maintainability,Ambiguous,database use generic representation r4 numtoken numtoken table name column header easier retrieval,the database will use the generic representations from r4 numtoken numtoken as table names or column headers for easier retrieval of data,1,NFR,0,Ambiguous,Maintainability,3.0,"The database will use the standard representations defined in R4.2.2.1 as table names and column headers to facilitate data retrieval, ensuring consistency and ease of access.",The database will use the generic representations defined in R4.2.2.1 as table names and column headers to facilitate easy data retrieval.,"The database will use the standard table names and column headers defined in R4.2.2.1 for easier data retrieval, ensuring consistent naming conventions throughout the system.","The database will use the standardized table names and column headers defined in R4.2.2.1 for improved data retrieval, ensuring consistency across all related data structures."
Structural data sources will have their data stored in our database,NFR,Maintainability,Non-Ambiguous,structural source stored database,structural data sources will have their data stored in our database,1,NFR,0,Ambiguous,Maintainability,3.0,The database will store data from all structural data sources.,The system shall store data from structural data sources in a designated database.,"The system shall store data from structural data sources in a database, ensuring that the data is persisted and retrievable for future use.",The database will store data from all structural data sources.
"For data with enough structuring, web scraping will be used to programmatically extract all the data needed and store it in our database.",FR,Functional,Ambiguous,enough structuring web scraping used programmatically extract needed store database,for data with enough structuring web scraping will be used to programmatically extract all the data needed and store it in our database,1,NFR,0,Ambiguous,Maintainability,3.0,The system shall use web scraping to extract structured data from the internet and store it in our database when sufficient structuring is present.,The system shall use web scraping to extract structured data from the internet and store it in our database when sufficient structuring is present.,"The system shall use web scraping to extract structured data from the internet and store it in our database, provided that the extracted data is sufficient for meeting business needs.","Extract all relevant data from unstructured or semi-structured sources using web scraping techniques and store the extracted data in our database, ensuring that the extraction process is programmatically controlled and auditable."
"For totally unstructured information, AI libraries will be used to programmatically extract and store any information possible",FR,Functional,Ambiguous,totally unstructured information ai library used programmatically extract store information possible,for totally unstructured information ai libraries will be used to programmatically extract and store any information possible,1,NFR,0,Ambiguous,Usability,0.0,"The system shall use AI libraries to extract and store any relevant information from unstructured data, as determined by the algorithms used.","The system shall use AI libraries to extract and store any relevant information from unstructured data, ensuring the extraction of all possible meaningful content.","The system shall use AI libraries to extract and store relevant information from unstructured data, with a focus on extracting all possible meaningful content.","The system shall use AI libraries to extract and store relevant information from unstructured data, with a minimum accuracy of 80% for predefined categories."
"Data that is especially hard to extract, for whatever reason, will be manually extracted and added to the database by a developer.",NFR,Maintainability,Ambiguous,especially hard extract whatever reason manually extracted added database developer,data that is especially hard to extract for whatever reason will be manually extracted and added to the database by a developer,1,NFR,0,Ambiguous,Maintainability,3.0,"The system shall provide a mechanism for manually extracting and adding data that is difficult to extract, ensuring its inclusion in the database.",The system shall provide a mechanism for developers to manually extract and add data that is difficult or impossible to automatically extract from the database.,"The system shall provide a mechanism for manually extracting and adding data that is difficult to extract, ensuring its inclusion in the database.","The system shall provide a mechanism for manually extracting and adding data that is difficult to extract, ensuring the integrity of the database."
"Text box will originally contain a suggestive text question, to guide the user to the format of an appropriate question.",NFR,Usability,Ambiguous,text box originally contain suggestive text question guide format appropriate question,text box will originally contain a suggestive text question to guide the user to the format of an appropriate question,1,NFR,0,Ambiguous,Usability,0.0,The text box will initially display a sample question prompt to help users format their input in the correct manner.,The text box will initially display a sample question in the format of an appropriate user query to guide users on how to enter their own questions.,"The text box will initially display a sample question in the format of an appropriate user query, to guide users on how to enter their own questions.","The text box will initially display a sample question in the format expected by the system, to facilitate user understanding and guide input."
"If there is a network issue, the chat window will display an error message.",FR,Functional,Non-Ambiguous,issue chat window display error message,if there is a network issue the chat window will display an error message,0,FR,0,Ambiguous,N/A,,The chat window shall display an error message when a network issue occurs.,The chat window shall display a clear error message when a network issue occurs.,"When a network issue occurs, the chat window shall display an error message to inform users of the problem.","When a network issue occurs, the chat window shall display an error message to inform users of the problem."
"Texts sent to that number will be sent to the API, then the system will reply to the user with the answer as another text message.",FR,Functional,Non-Ambiguous,text sent number sent api reply answer another text message,texts sent to that number will be sent to the api then the system will reply to the user with the answer as another text message,0,FR,0,Ambiguous,N/A,,The system shall send texts received at the designated number to an API and respond with a text message containing the answer to the user.,The system shall send texts received at the designated number to an API and respond with a text message containing the answer to the user.,"When a user sends a text message to the designated number, the system shall send the received text to an API and respond with the returned answer as another text message.","When a user sends a text message to the designated number, the system shall send the received text to the API and respond with the returned answer as another text message."
"If a question is not understood by our API, the system will send a text containing an example question after the text with the API response.",FR,Functional,Non-Ambiguous,question understood api send text containing example question text api response,if a question is not understood by our api the system will send a text containing an example question after the text with the api response,0,FR,0,Ambiguous,N/A,,The system shall return a text response that includes an example question when the API is unable to understand a user's input.,The system shall return a text response that includes an example question when the API does not understand a user's input.,"When the API does not understand a question, it shall return an API response that includes a text example of a similar question.","When the API does not understand a question, it shall return an additional text response containing an example of a similar question."
The feature of the application shall provide the optimized route for the given addresses,NFR,Performance,Ambiguous,feature optimized route given address,the feature of the application shall provide the optimized route for the given addresses,1,NFR,0,Ambiguous,Performance,2.0,The application shall generate the most efficient route between two specified addresses.,"The application shall generate a single, optimized route between two specified addresses.","The application shall provide the optimized route for a given pair of addresses within a specified time limit, as measured by calculating the shortest path between the two points on a map.","The feature shall provide a route optimization algorithm that returns the shortest path between two addresses within 30 seconds, with an average throughput of at least 100 routes per second and a maximum latency of 2 seconds for 95% of requests."
"The system shall be able to find the best route for multiple addresses, including fixing any gaps between them.",NFR,Performance,Ambiguous,find best route multiple address including fixing gap,the system shall be able to find the best route for multiple addresses including fixing any gaps between them,1,NFR,0,Ambiguous,Performance,2.0,"The system shall find the optimal route for a sequence of addresses, automatically resolving any discontinuities in the path.","The system shall find the shortest path that connects all specified addresses, resolving any discontinuities in the route.","The system shall find the shortest path that connects all specified addresses, resolving any discontinuities in the route.","The system shall respond with the optimal route within 5 seconds for up to 10 addresses, and accurately fix any gaps between them."
"While a fast internet connection is optional, the system shall be designed to perform optimally with a fast connection.",NFR,Performance,Ambiguous,fast internet connection optional designed perform optimally fast connection,while a fast internet connection is optional the system shall be designed to perform optimally with a fast connection,1,NFR,0,Ambiguous,Performance,2.0,"The system shall be designed to perform optimally with a fast internet connection, and it shall also function correctly without one.","The system shall be designed to perform optimally with a fast internet connection, and it shall also function correctly in the absence of such a connection.",The system shall be designed to achieve optimal performance when connected via a fast internet connection.,The system shall respond to user input within 500 milliseconds and process data at a rate of at least 1000 transactions per second when connected to the internet with a speed of at least 10 Mbps.
The search feature will display either search results or a no matches found message depending on the query's success.,FR,Functional,Non-Ambiguous,search feature display either search result match found message depending query success,the search feature will display either search results or a no matches found message depending on the query s success,0,FR,0,Ambiguous,N/A,,"The search feature shall display either a list of relevant results or an appropriate error message, indicating the outcome of the query execution.","The search feature shall display either a list of relevant results or an appropriate error message, depending on the outcome of the query.","The search feature shall display either a list of relevant results or an error message indicating ""no matches found"" based on the query's outcome.","The search feature will display either a list of relevant results or an error message indicating ""no matches found"" based on the query's outcome."
"Users are not able to safely operate the device under certain conditions, such as while driving.",NFR,Legal,Ambiguous,safely operate device certain condition driving,users are not able to safely operate the device under certain conditions such as while driving,1,NFR,0,Ambiguous,Usability,0.0,"The device must not be operable by users while they are engaged in activities that require their full attention, such as driving.",The device must not be operated by users who are driving or in a situation where their attention is required for safe operation of the vehicle.,"The device must not be operated by users who are driving or engaging in other activities that require their full attention, to ensure user safety.","The device must provide a clear and consistent user interface that prevents users from interacting with it while operating a vehicle, ensuring their safety during transportation."
System shall be able to maintain data security.,NFR,Security,Ambiguous,maintain security,system shall be able to maintain data security,1,NFR,0,Ambiguous,Security,1.0,"The system shall ensure the confidentiality, integrity, and availability of data throughout its lifecycle.","The system shall ensure the confidentiality, integrity, and availability of data in accordance with applicable security standards.","The system shall ensure the confidentiality, integrity, and availability of all stored data by implementing appropriate security controls and mechanisms.","The system shall implement a least-privilege access control mechanism to restrict data access based on user roles and permissions, ensuring that only authorized users can read or modify sensitive data."
System shall provide a data entry experience comparable to a desktop computer.,NFR,Usability,Ambiguous,entry experience comparable desktop computer,system shall provide a data entry experience comparable to a desktop computer,1,NFR,0,Ambiguous,Usability,0.0,"The system shall provide a data entry experience that is equivalent to, or better than, what would be expected from a desktop computer.","The system shall provide a data entry experience that is visually and interactively similar to a desktop computer, with equivalent functionality for entering, editing, and submitting data.","The system shall ensure that the data entry process is similar to a desktop computer experience, with intuitive and familiar user interface elements.","The system shall provide a data entry experience with keyboard and mouse interaction, similar to that of a desktop computer, where users can complete tasks efficiently, receive clear feedback on their actions, and navigate through the interface using standard navigation elements."
System shall be designed for mobile portability with minimal storage requirements and efficient performance.,NFR,Performance,Ambiguous,designed mobile portability minimal storage requirement efficient performance,system shall be designed for mobile portability with minimal storage requirements and efficient performance,1,NFR,0,Ambiguous,Performance,2.0,"The system shall be designed to operate on mobile devices with minimal storage capacity and efficient performance, ensuring optimal resource utilization.","The system shall be designed to operate on mobile devices with minimal storage capacity and efficient performance, ensuring optimal resource utilization.","The system shall be designed to operate efficiently on mobile devices with minimal storage requirements, ensuring optimal performance and responsiveness.",The system shall have a maximum storage footprint of 100 MB and achieve an average response time of less than 500 ms when running on a mobile device with limited resources.
User shall be able to add an unlimited number of items.,NFR,Performance,Ambiguous,add unlimited number item,user shall be able to add an unlimited number of items,0,FR,0,Ambiguous,N/A,,The system shall allow users to add an arbitrary number of items without restriction.,The system shall allow users to add an arbitrary number of items without restriction.,The system shall allow users to add an unlimited number of items without any restrictions on the quantity.,The system shall allow users to add an unlimited number of items without any restrictions on the quantity.
"User shall be able to set the price, quantity, upload pictures, and add details when listing an item.",FR,Functional,Non-Ambiguous,set price quantity upload picture add detail listing item,user shall be able to set the price quantity upload pictures and add details when listing an item,0,FR,0,Ambiguous,N/A,,"The system shall allow users to specify the item's price, quantity, upload images, and provide additional details when creating a new listing.","The system shall allow users to specify the item's price, quantity, upload images, and provide additional details when creating a new listing.","The user shall be able to specify the item's price, quantity, upload images, and provide additional details when creating a listing.","The system shall allow users to specify the item's price, quantity, upload images, and provide additional details when creating a new listing."
