Requirement Text,Class,Sub-Type,Ambiguity
An FAQ page shall be provided in Webble.,FR,Functional,Non-Ambiguous
The design of Webble shall ensure that at least 90% of users can navigate after training.,NFR,Usability,Non-Ambiguous
"User shall have the ability to search resumes by keywords, job category, and days since posted.",FR,Functional,Non-Ambiguous
User shall be able to post jobs with detailed descriptions.,FR,Functional,Non-Ambiguous
User shall have the ability to create and edit a company profile.,FR,Functional,Non-Ambiguous
User shall be able to add a company logo to job postings.,FR,Functional,Non-Ambiguous
Password resets shall be retrievable by automated email.,FR,Functional,Non-Ambiguous
Employers and recruiters shall be able to create multiple resume agents to receive daily emails matching their keywords.,FR,Functional,Ambiguous
Paid features such as making offers bold or highlighting shall be available.,FR,Functional,Non-Ambiguous
The search resume facility shall be activated by paying a fee based on requirements.,FR,Functional,Non-Ambiguous
Employer and agency registration shall be facilitated.,FR,Functional,Non-Ambiguous
Individual or package job adverts shall be purchasable by credit card.,FR,Functional,Non-Ambiguous
Information on remaining job posting time and CV access shall be reportable.,FR,Functional,Non-Ambiguous
Confirmation of remaining credits shall be provided after each job posting.,FR,Functional,Non-Ambiguous
Payment options shall include invoice or credit/debit card.,FR,Functional,Non-Ambiguous
Company logos shall be attachable to job adverts.,FR,Functional,Non-Ambiguous
Information on vacancy viewings and applications shall be provided.,FR,Functional,Non-Ambiguous
Application forms shall be attachable to job adverts.,FR,Functional,Non-Ambiguous
Jobs shall be postable via external sites if used by the advertiser.,FR,Functional,Non-Ambiguous
High-quality applications shall be received from a customized job board.,NFR,Usability,Ambiguous
Internal notes on applicants shall be maintainable.,NFR,Maintainability,Ambiguous
"Online registration and signup for memberships, job packages, postings, or resume database access shall be available.",FR,Functional,Non-Ambiguous
Quick employer registration shall be possible using email and password.,FR,Functional,Non-Ambiguous
Multiple registration accounts for colleagues shall be set up.,FR,Functional,Ambiguous
Autoresponder messages shall be sent for new account notifications.,FR,Functional,Non-Ambiguous
Password retrieval shall be possible via automated email.,FR,Functional,Non-Ambiguous
Profile updates shall be allowed at any time.,FR,Functional,Non-Ambiguous
Resumes or CVs submitted by job seekers shall be viewable and downloadable.,FR,Functional,Non-Ambiguous
Employers shall be able to create questions for applicants to respond to when applying.,FR,Functional,Non-Ambiguous
Search agents shall automatically send resumes matching specified criteria via email daily.,FR,Functional,Non-Ambiguous
Calendar scheduling for meetings shall be provided.,FR,Functional,Non-Ambiguous
Newsletter subscription or unsubscription shall be possible.,FR,Functional,Non-Ambiguous
"Job listings shall be customizable to include company info, job type, category, requirements, wages, benefits, and an apply button.",FR,Functional,Non-Ambiguous
Statistics on views and applicant counts shall be provided for postings.,FR,Functional,Non-Ambiguous
Video CVs shall be viewable.,FR,Functional,Non-Ambiguous
"User shall have the ability to search for jobs by keywords, category, and work status.",FR,Functional,Non-Ambiguous
User shall be able to upload a Video CV of up to 3 minutes.,FR,Functional,Non-Ambiguous
Applying for a job shall be facilitated with a single click.,FR,Functional,Non-Ambiguous
"Resume posting capabilities shall include creation, editing, and expiration.",FR,Functional,Non-Ambiguous
Candidates shall be able to opt-in and create Job Agents to receive daily notifications of matching jobs.,FR,Functional,Non-Ambiguous
Saving jobs of interest in a queue shall be possible for candidates.,FR,Functional,Non-Ambiguous
Password retrieval via email shall be automated.,FR,Functional,Non-Ambiguous
Job Seeker registration shall allow the addition of CV as a Word file to the CV database.,FR,Functional,Non-Ambiguous
"Login and profile updates, including password reminders, shall be provided.",FR,Functional,Non-Ambiguous
Jobs by email and email-a-friend features shall be available.,FR,Functional,Non-Ambiguous
Viewing application history from the profile shall be possible.,FR,Functional,Non-Ambiguous
An option to remain anonymous on the CV database while allowing employers/agencies to email candidates shall be provided.,FR,Functional,Non-Ambiguous
A powerful online job search tool shall be included.,FR,Functional,Ambiguous
Automated banner ads on email headers shall notify job seekers of relevant jobs.,FR,Functional,Non-Ambiguous
Job seekers shall control the privacy level of their information visible to employers through resume searches.,FR,Functional,Non-Ambiguous
"Job searching by location, qualification, categories, company, experience, and keywords shall be enabled.",FR,Functional,Non-Ambiguous
Resumes will have options for private/public/confidential settings.,FR,Functional,Non-Ambiguous
Contact information will be optionally hidden.,FR,Functional,Non-Ambiguous
Resumes will be hidden from specific companies.,FR,Functional,Non-Ambiguous
Multiple qualifications and experiences will be added and submitted.,FR,Functional,Ambiguous
Photos and Cover Letters will be added to profiles and job applications.,FR,Functional,Non-Ambiguous
Newsletter subscription and customization options will be provided.,FR,Functional,Non-Ambiguous
Jobs will be added to a watchlist for later viewing.,FR,Functional,Non-Ambiguous
Statistics on resume views by interested employers shall be available.,FR,Functional,Non-Ambiguous
Automated responses to job applications shall be provided.,FR,Functional,Non-Ambiguous
"Job Search Agents will be added, edited, activated, or deleted.",FR,Functional,Non-Ambiguous
Arranging job search results by dates or location shall be possible.,FR,Functional,Non-Ambiguous
"Admin shall manage job seeker and employer profiles, payments, and services.",FR,Functional,Non-Ambiguous
Messages will be sent to employers and job seekers for subscription-related matters.,FR,Functional,Non-Ambiguous
Roles and authentication for users shall be provided by admin.,FR,Functional,Non-Ambiguous
Admin will set criteria for users and manage static content updates.,FR,Functional,Non-Ambiguous
Email notifications to users based on account status will be sent from the admin panel.,FR,Functional,Non-Ambiguous
Recent jobs shall be displayed on the homepage.,FR,Functional,Non-Ambiguous
Newsletter and email sending functionalities to employers and job seekers shall be provided.,FR,Functional,Non-Ambiguous
Extensive usage statistics for various categories shall be accessible.,FR,Functional,Ambiguous
Job categories management console shall be available.,FR,Functional,Non-Ambiguous
Fully customizable graphic elements and templates shall be editable.,FR,Functional,Non-Ambiguous
"Fees for various features like job posting, premium membership, etc., shall be configurable.",FR,Functional,Ambiguous
Billing transactions and reports on system sales shall be viewable.,FR,Functional,Non-Ambiguous
System administrators shall have control over dropdown lists and list boxes throughout the site.,FR,Functional,Non-Ambiguous
Job seekers and employers will be searched based on various criteria.,FR,Functional,Ambiguous
"Multiple membership options with varying prices, time periods, and access levels shall be configurable.",FR,Functional,Ambiguous
"Invoices can be sent to companies, and featured employer showcases can be managed.",FR,Functional,Non-Ambiguous
"Reports on total system sales, jobs, job seekers, accounting, and order history shall be viewable.",FR,Functional,Non-Ambiguous
Full lists of job seekers and employers along with their contact information can be printed.,FR,Functional,Non-Ambiguous
Resumes will be imported directly from an existing database.,FR,Functional,Non-Ambiguous
Limits for CV views and alerts for abnormal user activity shall be configurable.,FR,Functional,Non-Ambiguous
Banner management application for serving and tracking banner ads shall be provided.,FR,Functional,Non-Ambiguous
Database backup and multiple admin setup with file access privileges shall be available.,FR,Functional,Ambiguous
"User shall be able to access the control panel based on their role as administrator, employer, or job seeker.",NFR,Security,Non-Ambiguous
User shall be able to subscribe to different membership tiers offering varying limits on resume downloads.,NFR,Performance,Non-Ambiguous
User shall be able to respond to a limited number of profiles per day as a general job seeker.,NFR,Performance,Non-Ambiguous
"User shall be able to make payments securely through integrated payment gateways like PayPal, InterSwitch, etc.",NFR,Security,Ambiguous
"User shall be able to use the application in multiple languages, including English and French.",NFR,Usability,Ambiguous
User shall experience a fully dynamic interface where data is fetched from the database.,NFR,Performance,Non-Ambiguous
User shall experience smoother page transitions with AJAX-enabled asynchronous page postbacks.,NFR,Performance,Non-Ambiguous
"User shall receive clear validation messages on both client and server sides, with failed fields highlighted.",NFR,Usability,Non-Ambiguous
User shall be prompted to verify their email upon registration for added security.,NFR,Security,Non-Ambiguous
"User shall have the option to connect their social media accounts like Facebook, Twitter, and LinkedIn.",FR,Functional,Non-Ambiguous
User shall have a seamless browsing experience across all major web browsers.,NFR,Maintainability,Non-Ambiguous
User shall be able to use the application in both English and French languages.,NFR,Usability,Non-Ambiguous
User shall be able to select from various workout sessions available in the app.,FR,Functional,Ambiguous
"User shall have their daily calorie goals recorded, and reminders will be sent if a workout is missed.",FR,Functional,Non-Ambiguous
"User shall have the option to create a customized workout plan, with a detailed graph of the workout displayed.",FR,Functional,Non-Ambiguous
User shall access a variety of meal plans based on target calorie intake per day.,FR,Functional,Non-Ambiguous
User shall be able to integrate their Strava account or Fitbit watch to view fitness-related information.,FR,Functional,Non-Ambiguous
User shall share their progress within the app and have the ability to copy custom workout sessions.,FR,Functional,Non-Ambiguous
User shall use the barcode scanner feature to retrieve detailed information about food products.,FR,Functional,Non-Ambiguous
User shall be alerted if they attempt to enter a custom workout name that already exists.,FR,Functional,Non-Ambiguous
User shall be alerted if they input incorrect or invalid target calories.,FR,Functional,Non-Ambiguous
User shall be prompted to sign in again and grant permissions if they do not provide access to account details.,FR,Functional,Non-Ambiguous
User shall be alerted if they provide incomplete information regarding the mealtime cycle.,FR,Functional,Non-Ambiguous
User will be prompted to grant permission to access the camera if they initially deny access.,FR,Functional,Non-Ambiguous
User will be notified if the barcode output is not generated due to an issue.,FR,Functional,Non-Ambiguous
User shall expect the database to update data in less than 1 second.,NFR,Performance,Non-Ambiguous
User shall experience a UI load time within 30 milliseconds for responsive interactions.,NFR,Performance,Non-Ambiguous
User shall anticipate API responses in less than 2.5 seconds to maintain seamless functionality.,NFR,Performance,Non-Ambiguous
User shall have their meal planner tailored to accommodate their allergies and food choices.,NFR,Usability,Non-Ambiguous
"User shall receive exercise recommendations considering their movement conditions (e.g., joint pain) to prevent injury.",NFR,Usability,Non-Ambiguous
User shall have their data securely stored in the database with privacy features to ensure confidentiality.,NFR,Security,Non-Ambiguous
User shall benefit from a simple UI design with easily navigable screens and features.,NFR,Usability,Ambiguous
"User shall access the application free of charge, as it is non-profit and aimed at benefiting the public.",NFR,Legal,Non-Ambiguous
Crafty kids corner shall include safety tips and guidelines for handling art supplies.,FR,Functional,Non-Ambiguous
Crafty kids corner shall offer printable resources such as coloring pages and templates.,FR,Functional,Non-Ambiguous
Crafty kids corner shall incorporate educational elements to promote fine motor skills and creativity.,FR,Functional,Non-Ambiguous
Crafty kids corner shall implement measures to ensure the privacy of children by adhering to data protection regulations.,NFR,Security,Non-Ambiguous
"Crafty kids corner shall provide an admin panel for content management, allowing admins to add, edit, or delete projects and tutorials.",FR,Functional,Non-Ambiguous
Crafty kids corner shall offer user management features in the admin panel for managing accounts and permissions.,FR,Functional,Non-Ambiguous
Crafty kids corner shall include interactive features where users can comment on projects and engage in discussions.,FR,Functional,Non-Ambiguous
Crafty kids corner shall include a rating system allowing users to rate projects based on their experience.,FR,Functional,Non-Ambiguous
Crafty kids corner will be compatible with a wide range of web browsers and devices commonly used by kids and their parents/guardians.,NFR,Maintainability,Ambiguous
Crafty kids corner will provide cross-platform support to ensure a consistent user experience across different operating systems.,NFR,Maintainability,Ambiguous
Crafty kids corner shall have the ability to accommodate increasing numbers of users as the website grows in popularity.,NFR,Performance,Non-Ambiguous
Crafty kids corner shall utilize scalable hosting solutions that can handle spikes in traffic without sacrificing performance.,NFR,Performance,Ambiguous
Crafty kids corner shall have a modular architecture to easily add new features or expand functionality as needed.,NFR,Maintainability,Ambiguous
Crafty kids corner shall ensure high availability to ensure the website is accessible whenever kids want to engage with it.,NFR,Availability,Ambiguous
Crafty kids corner shall implement backup and disaster recovery measures to prevent data loss in case of unforeseen events.,NFR,Availability,Ambiguous
"Crafty kids corner shall ensure secure user authentication and data protection, especially for any personal information collected from users or their guardians.",NFR,Security,Non-Ambiguous
Crafty kids corner shall regularly update security measures and patches to protect against vulnerabilities.,NFR,Security,Ambiguous
Crafty kids corner shall feature an intuitive user interface design suitable for each age group.,NFR,Usability,Ambiguous
"Crafty kids corner shall include accessibility features such as easy navigation, clear labels, and high contrast for readability.",NFR,Usability,Ambiguous
Crafty kids corner shall have a responsive design that adapts to different screen sizes and devices.,NFR,Usability,Non-Ambiguous
"Crafty kids corner shall provide ways for users to give feedback, such as ratings or comments, to improve the site's offerings.",FR,Functional,Non-Ambiguous
Crafty kids corner shall incorporate interactive elements to keep children interested and entertained.,NFR,Usability,Ambiguous
All content on Crafty kids corner shall be age-appropriate and suitable for children.,NFR,Legal,Non-Ambiguous
The system shall validate a new user's account upon registration.,FR,Functional,Non-Ambiguous
"The system shall allow users to create a new account by providing their name, date of birth, and email id.",FR,Functional,Non-Ambiguous
The system shall check the eligibility criteria in the database during account creation.,FR,Functional,Non-Ambiguous
The system shall confirm the successful creation of a new user account.,FR,Functional,Non-Ambiguous
The system shall enable users to search for information online.,FR,Functional,Non-Ambiguous
The system shall display the searched information to the user.,FR,Functional,Non-Ambiguous
The system shall allow users to create boards by providing a name for the board.,FR,Functional,Non-Ambiguous
The system shall display the created board on the dashboard.,FR,Functional,Non-Ambiguous
The system shall confirm the successful creation of a board with the desired name.,FR,Functional,Non-Ambiguous
The system shall enable users to create new pins by manually entering the pin details.,FR,Functional,Non-Ambiguous
The system shall display the created pin on the dashboard.,FR,Functional,Non-Ambiguous
The system shall confirm the successful creation of a new pin visible to all users.,FR,Functional,Non-Ambiguous
The system shall allow users to comment on posts they like.,FR,Functional,Non-Ambiguous
The system shall enable users to write comments on posts.,FR,Functional,Non-Ambiguous
The system shall process and display the written comment on the post.,FR,Functional,Non-Ambiguous
The system shall provide the functionality for users to follow other users.,FR,Functional,Non-Ambiguous
The system shall allow users to select and follow other users.,FR,Functional,Non-Ambiguous
The system shall display the list of people the user follows on the dashboard.,FR,Functional,Non-Ambiguous
The system shall display the list of people the user follows to the followers of those users.,FR,Functional,Non-Ambiguous
The system shall support customization of user-provided information.,FR,Functional,Non-Ambiguous
The system shall allow users to change their information at any time.,FR,Functional,Non-Ambiguous
The system shall process and display the changed user information.,FR,Functional,Non-Ambiguous
The system shall ensure that the changed user information is visible to all followers.,FR,Functional,Non-Ambiguous
The system shall provide a notification feature for users to check their notifications.,FR,Functional,Non-Ambiguous
The system shall allow users to open the notification box and select desired notifications.,FR,Functional,Non-Ambiguous
"The system shall display the selected notification, showing the pins associated with it.",FR,Functional,Non-Ambiguous
"The system shall be maintainable by highly professional maintainers, who are solely responsible for updating and adding new features.",NFR,Maintainability,Ambiguous
"The system shall be responsive, ensuring that it promptly follows every command given by the users.",NFR,Performance,Ambiguous
"The system shall prioritize usability, aiming for easy use and quick familiarity for end users without the need for training or assistance.",NFR,Usability,Ambiguous
"The system shall ensure reliability, earning users' trust with their information.",NFR,Availability,Ambiguous
The system shall utilize a database to store user information and data.,FR,Functional,Non-Ambiguous
User shall be able to connect with other people on Quora by sending messages.,FR,Functional,Non-Ambiguous
"System shall open a new window for users to compose and view messages, retrieving previous messages from the database.",FR,Functional,Non-Ambiguous
User shall be able to change profile settings or details.,FR,Functional,Non-Ambiguous
"System shall open a new window with options such as account, privacy, and language settings.",FR,Functional,Non-Ambiguous
User will be able to log in to their Quora.com account.,FR,Functional,Non-Ambiguous
"System shall verify user input from the database and proceed accordingly, logging the user into the home page.",FR,Functional,Non-Ambiguous
User shall be able to sign up for an account on Quora.com.,FR,Functional,Non-Ambiguous
"System shall display a confirmation popup after the user fills out the form and clicks the submit button, saving the information to the database for further processing.",FR,Functional,Non-Ambiguous
"The system shall be available at all times, accessible via any web browser, even with low browsing speed.",NFR,Availability,Ambiguous
The system shall be available as an application on both Android and iOS platforms.,NFR,Maintainability,Non-Ambiguous
The system shall be accessible on mobile browsers as well.,NFR,Maintainability,Non-Ambiguous
The system shall be compatible with any Windows platform with any version of a web browser.,NFR,Maintainability,Ambiguous
The system shall also be accessible on mini browsers for mobile devices.,NFR,Maintainability,Ambiguous
The Android application version of the software shall require a minimum Android version of 4.2.,NFR,Maintainability,Non-Ambiguous
A commercial database shall be utilized for maintaining the website's database.,NFR,Maintainability,Ambiguous
The application server shall be responsible for maintaining the website.,NFR,Maintainability,Non-Ambiguous
The software design shall prioritize modularity to facilitate efficient maintainability.,NFR,Maintainability,Ambiguous
User will choose between linking a credit or debit card.,FR,Functional,Non-Ambiguous
System will allow the user to link their card.,FR,Functional,Non-Ambiguous
"User will input their card details including card number, card type, expiration date, security code, and billing address, and then click on the link card option.",FR,Functional,Non-Ambiguous
System will display a message indicating that the bank account has been successfully added.,FR,Functional,Non-Ambiguous
"User will choose from options including searching for their issue, chatting with customer support, asking the community, emailing customer support, or calling customer support.",FR,Functional,Non-Ambiguous
System will prompt the user to select their issue or write about their problem.,FR,Functional,Non-Ambiguous
User will submit their issue or problem.,FR,Functional,Non-Ambiguous
System will display a message confirming that the problem or issue has been submitted successfully.,FR,Functional,Non-Ambiguous
User will input the email or mobile number associated with their PayPal account.,FR,Functional,Non-Ambiguous
System will send a one-time password to the provided email or mobile number.,FR,Functional,Non-Ambiguous
User will input the verification code received.,FR,Functional,Non-Ambiguous
System will confirm the successful submission of the verification code.,FR,Functional,Non-Ambiguous
User will input a new password and confirm the password.,FR,Functional,Non-Ambiguous
System will display a message confirming that the password has been created successfully.,FR,Functional,Non-Ambiguous
User shall experience a high data transfer rate.,NFR,Performance,Ambiguous
System shall maintain uninterrupted connections.,NFR,Availability,Non-Ambiguous
System must perform effectively in adverse conditions.,NFR,Availability,Ambiguous
System shall automatically log out the user after a period of inactivity.,FR,Functional,Ambiguous
Back-end servers shall only be accessible to authenticated users.,NFR,Security,Non-Ambiguous
The PayPal network must be available 24 hours a day.,NFR,Availability,Non-Ambiguous
Only designated maintainers are allowed to connect new users to the PayPal Payment System network and maintain records of all users and transaction status.,NFR,Security,Ambiguous
The user shall have the option to sign up using their Facebook account.,FR,Functional,Non-Ambiguous
The user shall have the option to sign up using their Google account.,FR,Functional,Non-Ambiguous
The user shall have the option to sign up using their Office 365 account.,FR,Functional,Non-Ambiguous
"The user shall be able to sign up by tapping the ""Sign Up"" button and using their email address.",FR,Functional,Non-Ambiguous
The user shall be able to enter their school year tenure.,FR,Functional,Non-Ambiguous
The user shall be able to submit their school start date.,FR,Functional,Non-Ambiguous
The user shall be able to submit their school start time.,FR,Functional,Non-Ambiguous
"The user shall be able to view their upcoming and current tasks, classes, exams, and reminders.",FR,Functional,Non-Ambiguous
"The user shall be able to add a new task from the dashboard by tapping on ""NewTask"".",FR,Functional,Non-Ambiguous
The user shall be able to view the Menu from the dashboard.,FR,Functional,Non-Ambiguous
The calendar shall be viewable in either week or month format by tapping on a drop-down menu.,FR,Functional,Non-Ambiguous
"The calendar shall display all tasks, exams, and classes with their details.",FR,Functional,Non-Ambiguous
"Upon tapping a specific date, the calendar shall display detailed descriptions in the lower screen section.",FR,Functional,Non-Ambiguous
The calendar shall allow jumping to the current date by tapping the calendar icon.,FR,Functional,Non-Ambiguous
The Tasks window shall display all current and upcoming tasks to the user.,FR,Functional,Non-Ambiguous
The user shall be able to filter tasks by School Year/Term or Subject.,FR,Functional,Non-Ambiguous
The user shall be able to search for a task by tapping the search icon.,FR,Functional,Non-Ambiguous
The user shall be able to view past tasks by tapping the menu widget.,FR,Functional,Non-Ambiguous
"The user shall be able to create a new task by tapping the ""+"" icon.",FR,Functional,Non-Ambiguous
The user shall be able to select a subject from the Subject drop-down menu.,FR,Functional,Non-Ambiguous
The user shall be able to add a new subject to the Subject drop-down menu.,FR,Functional,Non-Ambiguous
The user shall be able to choose the type of task from a drop-down menu.,FR,Functional,Non-Ambiguous
The user shall be able to select a due date via a pop-up calendar.,FR,Functional,Non-Ambiguous
The user shall be able to add a title for the new task.,FR,Functional,Non-Ambiguous
The user shall be able to enter details about the new task in the Detail field.,FR,Functional,Non-Ambiguous
"In case of a Revision task, the user shall be able to select the associated exam.",FR,Functional,Non-Ambiguous
"The user shall be able to save the new task by tapping ""Save"".",FR,Functional,Non-Ambiguous
A confirmation message box shall appear before discarding an unsaved new task.,FR,Functional,Non-Ambiguous
The Exams screen shall display the user's exams.,FR,Functional,Non-Ambiguous
The user shall be able to filter exams by School Year/Term or Subject.,FR,Functional,Non-Ambiguous
The user shall be able to view past exams by tapping a designated menu option.,FR,Functional,Non-Ambiguous
The user shall be able to view details of a specific exam by tapping on it.,FR,Functional,Non-Ambiguous
"The user shall be able to create a new exam by tapping the ""Add"" button.",FR,Functional,Non-Ambiguous
The user shall be able to add a new academic year/term to add the exam.,FR,Functional,Non-Ambiguous
The user shall be able to select a subject from a drop-down menu or add a new one.,FR,Functional,Non-Ambiguous
The user shall be able to enter the Module for the exam.,FR,Functional,Non-Ambiguous
The user shall be able to add the date and time for the exam.,FR,Functional,Non-Ambiguous
The user shall be able to set the Duration of the exam.,FR,Functional,Non-Ambiguous
The user shall be able to enter their Seat number for the exam.,FR,Functional,Non-Ambiguous
The user shall be able to enter their Room number for the exam.,FR,Functional,Non-Ambiguous
"The user shall be able to check a box on ""Resit"" if applicable.",FR,Functional,Non-Ambiguous
"The user shall be able to save all the data by tapping on ""Save"".",FR,Functional,Non-Ambiguous
"The user shall be able to discard all the changes by tapping on ""Close Exam View"".",FR,Functional,Non-Ambiguous
The user shall be able to see all the details of the Exam in this module.,FR,Functional,Non-Ambiguous
"The user shall be able to edit the details of the exam by tapping on ""Edit Schedule"".",FR,Functional,Non-Ambiguous
The user shall be able to view Class and Holidays Schedules in the main screen.,FR,Functional,Non-Ambiguous
The user shall be able to filter their view by Academic Year/Term or Current.,FR,Functional,Non-Ambiguous
The user shall be able to edit the Academic Year via the menu.,FR,Functional,Non-Ambiguous
The user shall be able to add a New Academic Year.,FR,Functional,Non-Ambiguous
The user shall be able to manage Subjects.,FR,Functional,Non-Ambiguous
"The user shall be able to add a New Class by tapping on ""Add New Class"".",FR,Functional,Non-Ambiguous
The user shall be able to select or add a Year/Term for the class.,FR,Functional,Non-Ambiguous
The user shall be able to select the Subject from a drop-down box.,FR,Functional,Non-Ambiguous
The user shall be able to add the Module name for the class.,FR,Functional,Non-Ambiguous
The user shall be able to add the Classroom number for the class.,FR,Functional,Non-Ambiguous
The user shall be able to mention the building name for the class.,FR,Functional,Non-Ambiguous
The user shall be able to add their Teacher Name for the class.,FR,Functional,Non-Ambiguous
The user shall be able to select if their class Repeats or Does not repeat.,FR,Functional,Non-Ambiguous
The user shall be able to add the Time and Duration of their Class.,FR,Functional,Non-Ambiguous
The user shall be able to enter the Start and End dates of their Class.,FR,Functional,Non-Ambiguous
The user shall be able to Save or Discard changes for Academic Year.,FR,Functional,Non-Ambiguous
The user shall be able to edit the Start and End date of the Academic Year.,FR,Functional,Non-Ambiguous
The user shall be able to select Scheduling options (weekly/daily rotations).,FR,Functional,Non-Ambiguous
The user shall be able to add a New Term.,FR,Functional,Non-Ambiguous
The user shall be able to Save or Discard changes for Term.,FR,Functional,Non-Ambiguous
The user shall be able to enter a Term Name.,FR,Functional,Non-Ambiguous
The user shall be able to select start and end dates of the Term.,FR,Functional,Non-Ambiguous
The user shall be able to Save or Discard changes for Term.,FR,Functional,Non-Ambiguous
The user shall be able to change the Academic Year/Term of their Subjects.,FR,Functional,Non-Ambiguous
The user shall be able to delete their Subjects.,FR,Functional,Non-Ambiguous
The user shall be able to add or make changes to the Subject Name.,FR,Functional,Non-Ambiguous
The user shall be able to make changes to the Subject Color.,FR,Functional,Non-Ambiguous
The user shall be able to Save or Discard their changes for Subjects.,FR,Functional,Non-Ambiguous
The system shall be designed to be interactive and provide fast updates.,NFR,Performance,Ambiguous
The system shall scale to accommodate increased usage and data volume over time.,NFR,Maintainability,Ambiguous
The system shall respond to highest priority user input and resume previous state.,FR,Functional,Non-Ambiguous
"The user shall be able to navigate the app intuitively, without external instructions.",NFR,Usability,Ambiguous
The system shall acknowledge user actions with confirmation to ensure reliability.,FR,Functional,Non-Ambiguous
The user shall access the application via the Google Play Store.,FR,Functional,Non-Ambiguous
The system shall render its layout adaptively to different screen sizes.,NFR,Usability,Ambiguous
The system shall prioritize WiFi connection and switch to mobile network if unavailable.,NFR,Availability,Non-Ambiguous
"The system shall serve 20,000 queries/day, with high load during peak hours.",NFR,Performance,Ambiguous
The system shall prioritize traveler privacy regarding location tracking.,NFR,Security,Ambiguous
"The system shall support language agnostic operation (English, Turkish, Finnish, Italian).",NFR,Portability,Non-Ambiguous
"The user shall be able to apply lenses, set timers, and capture photos.",FR,Functional,Non-Ambiguous
System shall process friend requests and establish friendships upon acceptance.,FR,Functional,Non-Ambiguous
Snapchat shall utilize Bitmoji app to perform specified actions.,FR,Functional,Non-Ambiguous
"Users shall view, browse, share stories, take screenshots, and report spam.",FR,Functional,Non-Ambiguous
The system shall utilize AI to analyze surroundings and select appropriate lenses.,FR,Functional,Non-Ambiguous
"The system shall sense music, create an audio fingerprint, and compare it to a database.",FR,Functional,Non-Ambiguous
The system shall display a real-time map with moving Bitmoji avatars.,FR,Functional,Non-Ambiguous
"Users shall send text, media, audio, make video calls, and play multiplayer games.",FR,Functional,Non-Ambiguous
The system shall manage streak counters for daily snapping.,FR,Functional,Non-Ambiguous
The system shall continuously calculate and update Snapchat scores.,FR,Functional,Non-Ambiguous
"Upon capturing a selfie, the system shall generate a Snapcode and offer actions.",FR,Functional,Non-Ambiguous
Memories shall provide cloud-based storage for user-uploaded snaps.,FR,Functional,Non-Ambiguous
"The system shall provide a private section (""My Eyes Only"") secured by passcode.",FR,Functional,Non-Ambiguous
"System shall allow users to search for Snapchatters, stories, and events.",FR,Functional,Non-Ambiguous
System shall match user keywords with database or offer direct contact option.,FR,Functional,Non-Ambiguous
"System shall allow authorized users to create, update, and delete user information.",FR,Functional,Non-Ambiguous
"System shall validate user data, verify credentials, and create new accounts.",FR,Functional,Non-Ambiguous
System shall provide a social messaging platform with group chat functionalities.,FR,Functional,Non-Ambiguous
User shall be able to determine if a sent snap has been received.,FR,Functional,Non-Ambiguous
Users shall customize their privacy settings to optimize their experience.,NFR,Usability,Ambiguous
The system shall enforce strong password management.,NFR,Security,Ambiguous
System shall ensure high reliability for concurrent users and guarantee secure data storage.,NFR,Security,Ambiguous
System shall support Snapchat on specified Android and iOS devices.,NFR,Portability,Non-Ambiguous
"Snapchat shall prioritize maintenance, utilize beta testing, and deliver updates.",NFR,Maintainability,Ambiguous
The system shall be designed for intuitive use by first-time users.,NFR,Usability,Ambiguous
System shall provide comprehensive help documentation based on user feedback.,NFR,Usability,Ambiguous
System shall provide cloud-based backup and automatic restore facility.,FR,Functional,Non-Ambiguous
System shall allow users to report inappropriate content and take action.,FR,Functional,Non-Ambiguous
"The system shall allow users to provide written feedback, rate the app, and share their thoughts after installation.",FR,Functional,Non-Ambiguous
Users shall be able to start and manage meetings through both video and audio.,FR,Functional,Non-Ambiguous
Users shall be able to send messages to each other.,FR,Functional,Non-Ambiguous
There shall be the ability to form groups or teams.,FR,Functional,Non-Ambiguous
Users shall be able to send messages to a team of people.,FR,Functional,Non-Ambiguous
"The system shall support file sharing - Photos, videos, documents, etc.",FR,Functional,Ambiguous
The Teams app shall be designed to scale based on the size of the organization.,NFR,Performance,Non-Ambiguous
"There shall be clearly defined uptime targets for the Teams app, along with a documented impact of downtime on performance.",NFR,Performance,Non-Ambiguous
"The Teams app shall be designed for high availability, ensuring minimal disruption in case of individual service outages.",NFR,Availability,Ambiguous
Updates to the Teams app shall be delivered through mechanisms that minimize or eliminate impact on ongoing meetings.,NFR,Maintainability,Non-Ambiguous
The product shall be designed with very limited graphics usage and shall utilize a simple keypad for user input.,FR,Functional,Ambiguous
There shall be no sound or animation used in the product.,NFR,Usability,Non-Ambiguous
The hardware and operating system shall be capable of supporting a screen resolution no greater than 320 x 240 pixels.,NFR,Portability,Non-Ambiguous
"While sound is not essential, it can be considered for future versions. User shall be greeted by name upon swiping card.",FR,Functional,Non-Ambiguous
Student can view a page of information by choosing from welcome screen options using a simple keypad.,FR,Functional,Ambiguous
Staff member shall view a page of information by selecting options on the welcome screen using a simple keypad.,FR,Functional,Ambiguous
A student cum staff shall view a page of information upon selection from the welcome screen options using a simple keypad.,FR,Functional,Ambiguous
The software shall be designed for the smart card terminal and shall not run on a standalone desktop PC.,NFR,Portability,Non-Ambiguous
The software will support simultaneous user acces only if there are multiple terminals.,FR,Functional,Ambiguous
Only textual information will be handled by the software.,FR,Functional,Non-Ambiguous
